"Project","Repository","Hosting","Discovered","Discovery Source","Query","Suggested Target Input","Suggested Category","Suggested Views","Description","Created","Last Update","Stars","Language","License","Archived","Fork","Score","Confidence","Evidence","Review Status","Notes"
"ConsentTheater Playbill","https://codeberg.org/ConsentTheater/playbill","Codeberg","2026-07-16","2026 OSINT support-tool market review","Platform-specific and intelligence tooling","Organization Name; URL","Documents & Records","EMERGING.md","Maintains a queryable knowledge base of trackers, cookies, domains, and responsible companies.","2026-05-31","2026-07-15","0","TypeScript","AGPL-3.0","false","false","9","high","https://codeberg.org/ConsentTheater/playbill","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Copernicus Browser","https://github.com/eu-cdse/copernicus-browser","GitHub","2026-07-16","2026 OSINT support-tool market review","GEOINT, mobility, and public records","Location; Image","Geolocation","","Searches, visualizes, and compares Earth observation data from Copernicus services.","2023-08-08","2026-07-09","81","JavaScript","MIT","false","false","9","high","https://github.com/eu-cdse/copernicus-browser","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Crawl4AI","https://github.com/unclecode/crawl4ai","GitHub","2026-07-16","2026 OSINT support-tool market review","Web collection and browser automation","URL","Web","","Crawls websites and produces structured, LLM-ready content and metadata.","2024-05-09","2026-07-15","72960","Python","Apache-2.0","false","false","9","high","https://github.com/unclecode/crawl4ai","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Crawlee","https://github.com/apify/crawlee","GitHub","2026-07-16","2026 OSINT support-tool market review","Web collection and browser automation","URL","Web","","Provides a scalable SDK for HTTP crawling and browser automation.","2016-08-26","2026-07-16","24754","TypeScript","Apache-2.0","false","false","9","high","https://github.com/apify/crawlee","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Data Commons Agent Toolkit","https://github.com/datacommonsorg/agent-toolkit","GitHub","2026-07-16","2026 OSINT support-tool market review","Agentic research, monitoring, and MCP","Dataset","Documents & Records","EMERGING.md; AGENTIC.md","Connects agents and MCP clients to the public Data Commons knowledge graph.","2025-06-26","2026-07-15","137","Python","Apache-2.0","false","false","9","high","https://github.com/datacommonsorg/agent-toolkit","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"deep-research","https://github.com/dzhng/deep-research","GitHub","2026-07-16","2026 OSINT support-tool market review","Agentic research, monitoring, and MCP","URL","Web","AGENTIC.md","Runs iterative web searches, evaluates findings, and builds source-grounded research answers.","2025-02-04","2026-04-11","19367","TypeScript","MIT","false","false","9","high","https://github.com/dzhng/deep-research","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Discord History Tracker","https://github.com/chylex/Discord-History-Tracker","GitHub","2026-07-15","Discord OSINT repository review","related project review","Username","Social Media","","Saves accessible Discord chat history for offline preservation and review.","2016-10-22","2026-01-29","579","C#","MIT","false","false","9","high","Active desktop application, browser script, and offline viewer with substantial source implementation.","accepted","Accepted as an active Discord evidence-preservation application."
"DiscordChatExporter","https://github.com/Tyrrrz/DiscordChatExporter","GitHub","2026-07-15","Discord OSINT repository review","related project review","Username","Social Media","","Exports accessible Discord message history and rich media to local files.","2017-07-12","2026-07-14","11594","C#","MIT","false","false","9","high","Active implementation with desktop, CLI, container, structured export, and documented bot-token guidance.","accepted","Accepted as an active evidence-preservation tool; bot access is preferable because user-account automation may violate Discord terms."
"Docling","https://github.com/docling-project/docling","GitHub","2026-07-16","2026 OSINT support-tool market review","Documents, PDF, OCR, and transcription","Document","Documents & Records","","Parses PDFs, office files, HTML, images, and audio into structured document representations.","2024-07-09","2026-07-14","63295","Python","MIT","false","false","9","high","https://github.com/docling-project/docling","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Docling MCP","https://github.com/docling-project/docling-mcp","GitHub","2026-07-16","2026 OSINT support-tool market review","Agentic research, monitoring, and MCP","Document","Documents & Records","AGENTIC.md","Exposes document conversion and structured extraction from files and URLs through MCP.","2025-03-14","2026-07-16","686","Python","MIT","false","false","9","high","https://github.com/docling-project/docling-mcp","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"docTR","https://github.com/mindee/doctr","GitHub","2026-07-16","2026 OSINT support-tool market review","Documents, PDF, OCR, and transcription","Image; Document","Media","","Detects and recognizes text in document images using deep-learning models.","2021-01-08","2026-07-15","6182","Python","Apache-2.0","false","false","9","high","https://github.com/mindee/doctr","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"DocumentCloud","https://github.com/MuckRock/documentcloud","GitHub","2026-07-16","2026 OSINT support-tool market review","Documents, PDF, OCR, and transcription","Document","Documents & Records","","Provides the backend for uploading, processing, searching, and publishing source documents.","2019-09-09","2026-07-13","49","Python","AGPL-3.0","false","false","9","high","https://github.com/MuckRock/documentcloud","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"EasySpider","https://github.com/NaiboWang/EasySpider","GitHub","2026-07-16","2026 OSINT support-tool market review","Web collection and browser automation","URL","Web","","Creates and runs visual no-code web crawling and data extraction tasks.","2020-07-18","2026-07-03","44244","JavaScript","AGPL-3.0","false","false","9","high","https://github.com/NaiboWang/EasySpider","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"EODAG","https://github.com/CS-SI/eodag","GitHub","2026-07-16","2026 OSINT support-tool market review","GEOINT, mobility, and public records","Location; Image","Geolocation","","Searches and downloads Earth observation products from multiple data providers.","2019-08-22","2026-07-10","424","Python","Apache-2.0","false","false","9","high","https://github.com/CS-SI/eodag","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"European Parliament MCP","https://github.com/Hack23/European-Parliament-MCP-Server","GitHub","2026-07-16","2026 OSINT support-tool market review","Agentic research, monitoring, and MCP","Name; Document","Documents & Records","EMERGING.md; AGENTIC.md","Provides agent access to European Parliament members, committees, votes, documents, and questions.","2026-02-16","2026-07-16","20","TypeScript","Apache-2.0","false","false","9","high","https://github.com/Hack23/European-Parliament-MCP-Server","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"face_recognition","https://github.com/ageitgey/face_recognition","GitHub","2026-07-15","Independent GitHub research: face intelligence","face recognition CLI","Name; Image","Media","","Recognizes and compares faces from Python or the command line.","2017-03-03","2026-06-25","56586","Python","MIT","false","false","9","high","Widely used active implementation exposes both a Python API and command-line face comparison workflow.","accepted","Accepted as a widely used MIT-licensed face comparison implementation."
"Firecrawl","https://github.com/firecrawl/firecrawl","GitHub","2026-07-16","2026 OSINT support-tool market review","Web collection and browser automation","URL","Web","","Provides APIs for web search, scraping, crawling, and structured extraction.","2024-04-15","2026-07-16","151931","TypeScript","AGPL-3.0","false","false","9","high","https://github.com/firecrawl/firecrawl","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"FollowTheMoney","https://github.com/alephdata/followthemoney","GitHub","2026-07-16","2026 OSINT support-tool market review","Entity, timeline, graph, and media analysis","Name; Organization Name; Dataset","Investigation","","Defines an investigative data model for entities, assets, documents, and relationships.","2017-10-20","2025-06-27","278","Python","MIT","false","false","9","high","https://github.com/alephdata/followthemoney","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"gallery-dl","https://codeberg.org/mikf/gallery-dl","Codeberg","2026-07-15","Identity Footprint reconnaissance attachment","manual review","Image","Media","","Downloads image galleries and media collections from supported websites.","2026-03-24","2026-07-15","380","Python","GPL-2.0","false","false","9","high","GitHub README identifies Codeberg as the canonical active-development repository; implementation and current commits verified there.","accepted","Accepted using the canonical Codeberg repository identified by the project's GitHub migration notice."
"GeoAI","https://github.com/opengeos/geoai","GitHub","2026-07-16","2026 OSINT support-tool market review","GEOINT, mobility, and public records","Location; Image","Geolocation","","Applies machine-learning and computer-vision workflows to geospatial data.","2023-08-11","2026-07-16","3186","Python","MIT","false","false","9","high","https://github.com/opengeos/geoai","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"GeoLibre","https://github.com/opengeos/GeoLibre","GitHub","2026-07-16","2026 OSINT support-tool market review","GEOINT, mobility, and public records","Location; Image","Geolocation","","Provides open geospatial and remote-sensing analysis workflows.","2026-05-27","2026-07-16","1745","TypeScript","MIT","false","false","9","high","https://github.com/opengeos/GeoLibre","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"GLiNER","https://github.com/urchade/GLiNER","GitHub","2026-07-16","2026 OSINT support-tool market review","Entity, timeline, graph, and media analysis","Text","Documents & Records","","Recognizes user-defined entity types in unstructured text without task-specific retraining.","2023-11-14","2026-07-06","3395","Python","Apache-2.0","false","false","9","high","https://github.com/urchade/GLiNER","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Google Maps Scraper by gosom","https://github.com/gosom/google-maps-scraper","GitHub","2026-07-16","2026 OSINT support-tool market review","Web collection and browser automation","Organization Name; Location","Geolocation","","Collects structured place and business information from Google Maps.","2023-04-22","2026-07-13","4987","Go","MIT","false","false","9","high","https://github.com/gosom/google-maps-scraper","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Google Maps Scraper by omkarcloud","https://github.com/omkarcloud/google-maps-scraper","GitHub","2026-07-16","2026 OSINT support-tool market review","Web collection and browser automation","Organization Name; Location","Geolocation","","Provides an alternative workflow for extracting business and place data from Google Maps.","2023-05-19","2026-07-04","2897","Python","MIT","false","false","9","high","https://github.com/omkarcloud/google-maps-scraper","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"GPT Researcher","https://github.com/assafelovic/gpt-researcher","GitHub","2026-07-16","2026 OSINT support-tool market review","Agentic research, monitoring, and MCP","URL","Web","AGENTIC.md","Runs multi-agent web research and produces source-grounded reports with citations.","2023-05-12","2026-07-14","28343","Python","Apache-2.0","false","false","9","high","https://github.com/assafelovic/gpt-researcher","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Human","https://github.com/vladmandic/human","GitHub","2026-07-15","User-supplied face recognition repositories","manual review","Name; Image","Media","","Runs face detection, recognition, matching, and broader human analysis in browsers and Node.js.","2020-10-11","2025-12-13","3209","HTML","MIT","false","false","9","high","Substantial TypeScript implementation includes face ID, face matching, image, video, and Node.js workflows.","accepted","Accepted as an active face-analysis library with direct image investigation and comparison use cases."
"Huntkit","https://github.com/assafkip/huntkit","GitHub","2026-07-16","2026 OSINT support-tool market review","Agentic research, monitoring, and MCP","Name; Organization Name; Event Data","Investigation","EMERGING.md; AGENTIC.md","Organizes cases, targets, findings, timelines, evidence hashes, and chain-of-custody records.","2026-04-15","2026-07-06","46","Shell","MIT","false","false","9","high","https://github.com/assafkip/huntkit","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"ICIJ Datashare","https://github.com/ICIJ/datashare","GitHub","2026-07-16","2026 OSINT support-tool market review","Documents, PDF, OCR, and transcription","Document","Documents & Records","","Indexes investigative documents, runs OCR, and extracts people, organizations, and locations.","2016-04-20","2026-07-16","744","Java","AGPL-3.0","false","false","9","high","https://github.com/ICIJ/datashare","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"ICIJ Extract","https://github.com/ICIJ/extract","GitHub","2026-07-16","2026 OSINT support-tool market review","Documents, PDF, OCR, and transcription","Document","Documents & Records","","Extracts searchable text and metadata from investigative document collections.","2015-05-07","2026-07-16","256","Java","MIT","false","false","9","high","https://github.com/ICIJ/extract","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"InsightFace","https://github.com/deepinsight/insightface","GitHub","2026-07-15","Independent GitHub research: face intelligence","face recognition toolkit","Name; Image","Media","","Implements face detection, alignment, recognition, embeddings, and cross-platform analysis workflows.","2017-09-01","2026-05-23","29263","Python","","false","false","9","high","Active implementation with Python, C++, and desktop tooling; README states MIT for code and separate non-commercial or negotiated terms for supplied models.","accepted","Accepted with explicit metadata distinction: source code is MIT, while supplied models have separate non-commercial or negotiated license terms."
"Internet Archive MCP","https://github.com/cyanheads/internet-archive-mcp-server","GitHub","2026-07-16","2026 OSINT support-tool market review","Agentic research, monitoring, and MCP","URL","Web","EMERGING.md; AGENTIC.md","Provides agent access to Internet Archive search, metadata, files, and preserved resources.","2026-06-05","2026-07-03","1","TypeScript","Apache-2.0","false","false","9","high","https://github.com/cyanheads/internet-archive-mcp-server","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"LeakIX MCP","https://github.com/LeakIX/leakix-mcp","GitHub","2026-07-16","2026 OSINT support-tool market review","Agentic research, monitoring, and MCP","Domain; IP Address; URL","Infrastructure","EMERGING.md; AGENTIC.md","Exposes LeakIX searches for internet services, leaks, domains, and IP addresses through MCP.","2026-01-27","2026-07-14","2","Python","MIT","false","false","9","high","https://github.com/LeakIX/leakix-mcp","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Linkwarden","https://github.com/linkwarden/linkwarden","GitHub","2026-07-16","2026 OSINT support-tool market review","Web preservation and evidence capture","URL","Web","","Preserves bookmarked pages and stored copies for later reference and collaboration.","2022-04-09","2026-07-11","18969","TypeScript","AGPL-3.0","false","false","9","high","https://github.com/linkwarden/linkwarden","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"MalwareDB","https://github.com/malwaredb/malwaredb-rs","GitHub","2026-07-16","2026 OSINT support-tool market review","Platform-specific and intelligence tooling","File; File Hash","Threat Intelligence","","Stores, indexes, and analyzes malware samples and associated metadata.","2023-02-19","2026-07-15","59","Rust","Apache-2.0","false","false","9","high","https://github.com/malwaredb/malwaredb-rs","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Marker","https://github.com/datalab-to/marker","GitHub","2026-07-16","2026 OSINT support-tool market review","Documents, PDF, OCR, and transcription","Document","Documents & Records","","Converts PDFs and other documents into Markdown, JSON, tables, and structured text.","2023-10-30","2026-06-29","37565","Python","GPL-3.0","false","false","9","high","https://github.com/datalab-to/marker","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"MarkItDown","https://github.com/microsoft/markitdown","GitHub","2026-07-16","2026 OSINT support-tool market review","Documents, PDF, OCR, and transcription","Document","Documents & Records","","Converts common document and media formats into Markdown for analysis.","2024-11-13","2026-05-26","166632","Python","MIT","false","false","9","high","https://github.com/microsoft/markitdown","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Maxun","https://github.com/getmaxun/maxun","GitHub","2026-07-16","2026 OSINT support-tool market review","Web collection and browser automation","URL","Web","","Builds reusable web robots and structured data APIs through a visual interface.","2023-10-23","2026-07-15","16529","TypeScript","AGPL-3.0","false","false","9","high","https://github.com/getmaxun/maxun","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"MediaInfo","https://github.com/MediaArea/MediaInfo","GitHub","2026-07-16","2026 OSINT support-tool market review","Entity, timeline, graph, and media analysis","Video; Audio","Media","","Extracts technical metadata from audio, video, image, and container formats.","2014-06-10","2026-06-15","1966","C++","BSD-2-Clause","false","false","9","high","https://github.com/MediaArea/MediaInfo","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Memorious4","https://github.com/dataresearchcenter/memorious","GitHub","2026-07-16","Maintained successor review","functional replacement review","URL","Web","","Runs maintained configurable crawlers for investigative documents and structured public data.","2025-01-21","2026-06-09","3","Python","AGPL-3.0","false","true","9","high","https://github.com/dataresearchcenter/memorious","accepted","Accepted as a maintained successor after functional lifecycle review; overlap and fork status are not automatic rejection criteria."
"MISP","https://github.com/MISP/MISP","GitHub","2026-07-16","2026 OSINT support-tool market review","Entity, timeline, graph, and media analysis","Domain; IP Address; URL; File Hash","Threat Intelligence","","Stores, correlates, analyzes, and shares structured threat intelligence and indicators.","2013-02-07","2026-07-13","6418","PHP","AGPL-3.0","false","false","9","high","https://github.com/MISP/MISP","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"OCRmyPDF","https://github.com/ocrmypdf/OCRmyPDF","GitHub","2026-07-16","2026 OSINT support-tool market review","Documents, PDF, OCR, and transcription","Document","Documents & Records","","Adds searchable OCR text layers to scanned PDF documents.","2013-12-20","2026-07-16","34201","Python","MPL-2.0","false","false","9","high","https://github.com/ocrmypdf/OCRmyPDF","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"Open Deep Research","https://github.com/langchain-ai/open_deep_research","GitHub","2026-07-16","2026 OSINT support-tool market review","Agentic research, monitoring, and MCP","URL","Web","AGENTIC.md","Implements a configurable deep-research agent with pluggable search and model providers.","2024-11-20","2026-07-15","12026","Python","MIT","false","false","9","high","https://github.com/langchain-ai/open_deep_research","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"OpenArchive Save","https://github.com/OpenArchive/Save-app-ios","GitHub","2026-07-16","2026 OSINT support-tool market review","Web preservation and evidence capture","File","Media","","Captures and preserves mobile media with secure storage and provenance-oriented workflows.","2018-06-06","2026-05-10","20","Swift","GPL-3.0","false","false","9","high","https://github.com/OpenArchive/Save-app-ios","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"OpenDataLoader PDF","https://github.com/opendataloader-project/opendataloader-pdf","GitHub","2026-07-16","2026 OSINT support-tool market review","Documents, PDF, OCR, and transcription","Document","Documents & Records","","Extracts text, tables, layout, and structured content from PDF documents.","2025-05-13","2026-07-14","27372","Java","Apache-2.0","false","false","9","high","https://github.com/opendataloader-project/opendataloader-pdf","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"OpenOCR","https://github.com/Topdu/OpenOCR","GitHub","2026-07-16","2026 OSINT support-tool market review","Documents, PDF, OCR, and transcription","Image; Document","Media","","Provides an open toolkit for text detection and recognition in images and documents.","2024-05-31","2026-05-20","1409","Python","Apache-2.0","false","false","9","high","https://github.com/Topdu/OpenOCR","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"openParlData.ch Web Archive","https://gitlab.com/opendata.ch/openparldatach/web-archive","GitLab","2026-07-16","2026 OSINT support-tool market review","Web preservation and evidence capture","URL","Documents & Records","EMERGING.md","Archives Swiss parliamentary websites with Browsertrix and serves them through pywb.","2026-04-02","2026-05-04","0","Web archive pipeline","AGPL-3.0","false","false","9","high","https://gitlab.com/opendata.ch/openparldatach/web-archive","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"OpenRefine","https://github.com/OpenRefine/OpenRefine","GitHub","2026-07-16","2026 OSINT support-tool market review","Entity, timeline, graph, and media analysis","Dataset","Documents & Records","","Cleans, transforms, reconciles, and links inconsistent structured data.","2012-10-15","2026-07-16","11909","Java","BSD-3-Clause","false","false","9","high","https://github.com/OpenRefine/OpenRefine","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
"OSMnx","https://github.com/gboeing/osmnx","GitHub","2026-07-16","2026 OSINT support-tool market review","GEOINT, mobility, and public records","Location","Geolocation","","Downloads, models, and analyzes street networks and other OpenStreetMap features.","2016-07-24","2026-07-16","5781","Python","MIT","false","false","9","high","https://github.com/gboeing/osmnx","accepted","Accepted from the broad 2026 market review; functional overlap was retained intentionally."
